Date,Open,High,Low,Close,Adj Close,Volume
18-10-2016,150.020004,151,147.789993,150.720001,121.72348,12770600
19-10-2016,151.270004,152.449997,150.830002,151.259995,122.159599,4632900
20-10-2016,151.279999,152.899994,151.020004,151.520004,122.369583,4023100
21-10-2016,150.580002,151.149994,149.559998,149.630005,120.843185,4414200
24-10-2016,150.399994,151.520004,150.399994,150.570007,121.602325,2666700
25-10-2016,150.570007,151.160004,149.830002,150.880005,121.852737,2647500
26-10-2016,150.710007,152.940002,150.259995,151.809998,122.603798,2811700
27-10-2016,152.820007,154.059998,152.020004,153.350006,123.847557,4229300
28-10-2016,154.050003,154.440002,152.179993,152.610001,123.249901,3654500
31-10-2016,152.759995,154.330002,152.759995,153.690002,124.122078,3553200
01-11-2016,153.5,153.910004,151.740005,152.789993,123.395256,3191900
02-11-2016,152.479996,153.350006,151.669998,151.949997,122.716888,3074400
03-11-2016,152.509995,153.740005,151.800003,152.369995,123.056053,2878800
04-11-2016,152.399994,153.639999,151.869995,152.429993,123.104523,2470400
07-11-2016,153.990005,156.110001,153.839996,155.720001,125.761566,3804900
08-11-2016,154.559998,155.929993,153.059998,155.169998,126.454254,3921900
09-11-2016,152.960007,155.559998,151,154.809998,126.160881,5403700
10-11-2016,157.660004,161.160004,157.589996,160.220001,130.569702,7715800
11-11-2016,159.970001,161.339996,159.330002,161.270004,131.4254,4446600
14-11-2016,161.25,161.860001,157.580002,158.210007,128.931702,5196500
15-11-2016,158.419998,159.149994,157.550003,158.669998,129.306549,3477000
16-11-2016,158.460007,159.550003,158.029999,159.289993,129.811783,2252800
17-11-2016,159.220001,159.929993,158.850006,159.800003,130.227432,2261200
18-11-2016,159.800003,160.720001,159.210007,160.389999,130.708267,2981600
21-11-2016,160.690002,163,160.369995,162.770004,132.647812,4637100
22-11-2016,163,163,161.949997,162.669998,132.566315,2770800
23-11-2016,161.940002,162.380005,161.360001,161.979996,132.003998,2252700
25-11-2016,161.830002,163.190002,161.830002,163.139999,132.949326,1605300
28-11-2016,163.199997,164.660004,162.699997,164.520004,134.073944,4449400
29-11-2016,164,164.410004,163.029999,163.529999,133.267151,3148200
30-11-2016,163.350006,163.800003,162.210007,162.220001,132.199585,4397800
01-12-2016,161.949997,162.199997,158.300003,159.820007,130.243729,4635700
02-12-2016,159,160.289993,158.410004,160.020004,130.406723,2740900
05-12-2016,160.850006,161.149994,159.589996,159.839996,130.260025,3447100
06-12-2016,160.130005,160.789993,158.929993,160.350006,130.675644,2859000
07-12-2016,160.600006,165.179993,160.389999,164.789993,134.293976,4435100
08-12-2016,164.869995,166,164.220001,165.360001,134.758484,3266400
09-12-2016,165.179993,166.720001,164.600006,166.520004,135.703827,3146900
12-12-2016,166.720001,166.789993,165.070007,165.5,134.872604,3392300
13-12-2016,165.679993,169.949997,165.679993,168.289993,137.146286,5932300
14-12-2016,168.369995,169.889999,167.449997,168.509995,137.325562,4124200
15-12-2016,168.009995,169.850006,167.779999,168.020004,136.926239,3388600
16-12-2016,168.970001,169.110001,166.059998,166.729996,135.874969,7120600
19-12-2016,166.830002,167.259995,166,166.679993,135.834198,2955900
20-12-2016,167.490005,168.25,166.449997,167.600006,136.584,2174600
21-12-2016,166.25,167.940002,165.25,167.330002,136.363937,3575700
22-12-2016,167.360001,168.229996,166.580002,167.059998,136.14389,2802600
23-12-2016,167,167.490005,166.449997,166.710007,135.858673,1701200
27-12-2016,166.979996,167.979996,166.850006,167.139999,136.209091,1397500
28-12-2016,167.289993,167.740005,166,166.190002,135.434875,1757500
29-12-2016,166.020004,166.990005,166,166.600006,135.769043,1663500
30-12-2016,166.440002,166.699997,165.5,165.990005,135.271896,2952800
03-01-2017,167,167.869995,166.009995,167.190002,136.249847,2934300
04-01-2017,167.770004,169.869995,167.360001,169.259995,137.936768,3381400
05-01-2017,169.25,169.389999,167.259995,168.699997,137.480408,2682300
